sent_id, decision
"library#01","AMBIGUOUS"
"library#02","UNAMBIGUOUS"
"library#03","UNAMBIGUOUS"
"library#04","UNAMBIGUOUS"
"library#05","UNAMBIGUOUS"
"library#06","AMBIGUOUS"
"library#07","UNAMBIGUOUS"
"library#08","AMBIGUOUS"
"library#09","AMBIGUOUS"
"library#10","AMBIGUOUS"
"library#11","UNAMBIGUOUS"
"library#12","UNAMBIGUOUS"
"library#13","AMBIGUOUS"
"library#14","AMBIGUOUS"
"library#15","AMBIGUOUS"
"library#16","AMBIGUOUS"
"library#17","AMBIGUOUS"
"library#18","UNAMBIGUOUS"
"library#19","UNAMBIGUOUS"
"library#20","AMBIGUOUS"
"library#21","UNAMBIGUOUS"
"library#22","AMBIGUOUS"
"library#23","AMBIGUOUS"
"library#24","AMBIGUOUS"
"library#25","AMBIGUOUS"
"weather#01","UNAMBIGUOUS"
"weather#02","UNAMBIGUOUS"
"weather#03","UNAMBIGUOUS"
"weather#04","AMBIGUOUS"
"weather#05","UNAMBIGUOUS"
"weather#06","AMBIGUOUS"
"weather#07","UNAMBIGUOUS"
"weather#08","UNAMBIGUOUS"
"weather#09","AMBIGUOUS"
"weather#10","AMBIGUOUS"
"weather#11","AMBIGUOUS"
"weather#12","UNAMBIGUOUS"
"weather#13","UNAMBIGUOUS"
"weather#14","UNAMBIGUOUS"
"weather#15","UNAMBIGUOUS"
"weather#16","AMBIGUOUS"
"weather#17","UNAMBIGUOUS"
"weather#18","UNAMBIGUOUS"
"weather#19","UNAMBIGUOUS"
"weather#20","UNAMBIGUOUS"
"railway#01","UNAMBIGUOUS"
"railway#02","UNAMBIGUOUS"
"railway#03","AMBIGUOUS"
"railway#04","AMBIGUOUS"
"railway#05","UNAMBIGUOUS"
"railway#06","AMBIGUOUS"
"railway#07","AMBIGUOUS"
"railway#08","UNAMBIGUOUS"
"railway#09","UNAMBIGUOUS"
"railway#10","UNAMBIGUOUS"
"railway#11","AMBIGUOUS"
"railway#12","UNAMBIGUOUS"
"railway#13","UNAMBIGUOUS"
"railway#14","UNAMBIGUOUS"
"railway#15","UNAMBIGUOUS"
"railway#16","UNAMBIGUOUS"
"railway#17","AMBIGUOUS"
"railway#18","UNAMBIGUOUS"
"railway#19","UNAMBIGUOUS"
"railway#20","UNAMBIGUOUS"
"railway#21","AMBIGUOUS"
"railway#22","UNAMBIGUOUS"
"railway#23","UNAMBIGUOUS"
"railway#24","UNAMBIGUOUS"
"railway#25","AMBIGUOUS"
"railway#26","AMBIGUOUS"
"railway#27","UNAMBIGUOUS"
"railway#28","AMBIGUOUS"
"railway#29","UNAMBIGUOUS"
"railway#30","UNAMBIGUOUS"
"railway#31","AMBIGUOUS"
"railway#32","UNAMBIGUOUS"
"railway#33","AMBIGUOUS"
"railway#34","AMBIGUOUS"
"railway#35","UNAMBIGUOUS"
"railway#36","UNAMBIGUOUS"
"railway#37","AMBIGUOUS"
"railway#38","UNAMBIGUOUS"
"railway#39","UNAMBIGUOUS"
"railway#40","AMBIGUOUS"
"railway#41","UNAMBIGUOUS"
"railway#42","AMBIGUOUS"
"railway#43","AMBIGUOUS"
"railway#44","UNAMBIGUOUS"
"railway#45","UNAMBIGUOUS"
"railway#46","AMBIGUOUS"
"railway#47","AMBIGUOUS"
"railway#48","UNAMBIGUOUS"
"railway#49","AMBIGUOUS"
"railway#50","AMBIGUOUS"
"railway#51","UNAMBIGUOUS"
"railway#52","UNAMBIGUOUS"
"railway#53","AMBIGUOUS"
"railway#54","UNAMBIGUOUS"
"railway#55","AMBIGUOUS"
"railway#56","AMBIGUOUS"
"railway#57","AMBIGUOUS"
"railway#58","AMBIGUOUS"
"railway#59","UNAMBIGUOUS"
"railway#60","AMBIGUOUS"
"railway#61","UNAMBIGUOUS"
"railway#62","UNAMBIGUOUS"
"home#01","AMBIGUOUS"
"home#02","AMBIGUOUS"
"home#03","UNAMBIGUOUS"
"space#01","UNAMBIGUOUS"
"space#02","UNAMBIGUOUS"
"space#03","AMBIGUOUS"
"space#04","AMBIGUOUS"
"space#05","AMBIGUOUS"
"space#06","AMBIGUOUS"
"space#07","AMBIGUOUS"
"space#08","AMBIGUOUS"
"space#09","AMBIGUOUS"
"space#10","UNAMBIGUOUS"
"space#11","AMBIGUOUS"
"space#12","UNAMBIGUOUS"
"space#13","UNAMBIGUOUS"
"space#14","AMBIGUOUS"
"space#15","AMBIGUOUS"
"space#16","AMBIGUOUS"
"space#17","AMBIGUOUS"
"space#18","AMBIGUOUS"
"space#19","AMBIGUOUS"
"space#20","UNAMBIGUOUS"
